lotid,parcelvalue
11614222,316134.951617393
11555888,255074.26732992622
13052987,481980.3105291027
12448473,692637.6922927077
12559155,692637.6922927077
10725371,177948.23076016034
10803706,96142.77097343504
12014726,373213.85471844877
11096205,279551.9398859245
11619184,316134.951617393
12095203,199916.85164714433
10814735,538648.9445101059
10846119,85077.22965556549
10792339,105951.03339858472
11342880,1705425.5545241612
11164820,370069.6536415795
11179859,5729569.359321529
10869776,96142.77097343504
11662161,245353.9477065159
10964688,180890.88076611154
11989457,146567.3257242435
10813862,538648.9445101059
10852312,96142.77097343504
10807894,105951.03339858472
10910934,314593.38628048316
11667598,128201.93308010878
10721874,177948.23076016034
10796569,538648.9445101059
11168377,370069.6536415795
11093237,96142.77097343504
10805003,96142.77097343504
10716693,177948.23076016034
10718567,177948.23076016034
11089415,5729569.359321529
11012619,789777.252662727
12071829,534404.9179834523
10724824,177948.23076016034
12122623,472923.2471611176
10963116,180890.88076611154
11077670,279551.9398859245
12103331,472923.2471611176
10788715,39904.03097977219
11516907,271288.11240932235
10804010,96142.77097343504
11095106,62249.96075441846
10855852,85077.22965556549
12015927,319046.0791613176
10843039,85077.22965556549
11525034,255074.26732992622
10728342,177948.23076016034
11609689,255074.26732992622
11088869,5729569.359321529
10765811,62249.96075441846
11687535,5146374.705998291
11691487,128201.93308010878
10897043,219931.21332995006
10836781,831401.9175245063
11078803,5729569.359321529
12103791,472923.2471611176
11040560,789777.252662727
10969602,180890.88076611154
11989081,146567.3257242435
11166769,370069.6536415795
10763210,96142.77097343504
10806659,105951.03339858472
10812133,105951.03339858472
10833846,831401.9175245063
12624177,419301.0329882992
10735903,177948.23076016034
10850432,96142.77097343504
12171628,472923.2471611176
12076783,534404.9179834523
11781377,462040.9808309837
12457226,692637.6922927077
10816474,96142.77097343504
12052604,534404.9179834523
10735075,177948.23076016034
11965726,333528.3601305339
11147659,222163.3095649208
11595745,255074.26732992622
11816452,263855.4264095497
11104358,222163.3095649208
11171749,370069.6536415795
10813208,538648.9445101059
11088903,5729569.359321529
11668734,128201.93308010878
12614441,419301.0329882992
11871851,333528.3601305339
10817435,96142.77097343504
10823231,85077.22965556549
12514802,466027.9584964753
10767383,62249.96075441846
10735460,177948.23076016034
11142020,410841.2475134318
12021911,319046.0791613176
12491431,466027.9584964753
11037540,180890.88076611154
11619968,316134.951617393
11565978,316134.951617393
10989127,373213.85471844877
11129281,5729569.359321529
11819541,333528.3601305339
10811983,105951.03339858472
10799459,96142.77097343504
10726520,177948.23076016034
11119332,370069.6536415795
10731178,177948.23076016034
11462237,255074.26732992622
11719147,146567.3257242435
12043851,534404.9179834523
10867704,128201.93308010878
10997974,373213.85471844877
11987383,319046.0791613176
12100321,138743.25499384644
11343917,1705425.5545241612
11172897,410841.2475134318
12565954,692637.6922927077
10833240,96142.77097343504
12013967,373213.85471844877
10712998,177948.23076016034
10799613,96142.77097343504
11098226,62249.96075441846
10867262,282861.44742745656
11105313,222163.3095649208
11009586,789777.252662727
10901832,373213.85471844877
12464067,692637.6922927077
10911656,373213.85471844877
11062196,831401.9175245063
11076224,279551.9398859245
12901896,481980.3105291027
10787168,538648.9445101059
11655297,282861.44742745656
11764419,462040.9808309837
11950530,462040.9808309837
10764203,96142.77097343504
11940976,462040.9808309837
12014878,319046.0791613176
11997230,319046.0791613176
12983425,68344.72242999605
12035802,462040.9808309837
11121009,370069.6536415795
10799945,96142.77097343504
12529997,466027.9584964753
11160875,222163.3095649208
10759918,105951.03339858472
10762889,96142.77097343504
11080429,5729569.359321529
10848954,85077.22965556549
11085861,279551.9398859245
11969635,333528.3601305339
10738249,5146374.705998291
10793993,105951.03339858472
10916984,314593.38628048316
11167527,370069.6536415795
12087336,333528.3601305339
10761777,96142.77097343504
11015923,789777.252662727
11344703,1705425.5545241612
10839216,85077.22965556549
10776387,96142.77097343504
12051950,534404.9179834523
10794766,39904.03097977219
10724193,177948.23076016034
12465876,692637.6922927077
11163104,410841.2475134318
11093473,831401.9175245063
12511812,466027.9584964753
10816195,96142.77097343504
12515041,466027.9584964753
11051658,789777.252662727
11465083,255074.26732992622
10744909,5146374.705998291
11720617,146567.3257242435
11082053,5729569.359321529
10838391,85077.22965556549
10818293,105951.03339858472
11396460,146567.3257242435
12468282,692637.6922927077
12075906,534404.9179834523
10729722,177948.23076016034
10886908,219931.21332995006
11602423,319046.0791613176
11160647,222163.3095649208
11656409,319046.0791613176
10916127,314593.38628048316
11099515,62249.96075441846
10722924,177948.23076016034
12023622,314593.38628048316
10886282,85077.22965556549
10852111,96142.77097343504
10727879,177948.23076016034
12525613,466027.9584964753
11085313,279551.9398859245
